artifactId	in_build_plugins	execution_ids	phases	has_rules
smart-workflow	true	enforce-dependency-convergence	validate	true
sw-dependencies	true	enforce-dependency-convergence	validate	true
sw-common	true	enforce-dependency-convergence	validate	true
sw-security	true	enforce-dependency-convergence	validate	true
sw-framework	true	enforce-dependency-convergence	validate	true
sw-basic-storage-api	true	enforce-dependency-convergence	validate	true
sw-basic-storage-biz	true	enforce-dependency-convergence	validate	true
sw-basic-notify-api	true	enforce-dependency-convergence	validate	true
sw-basic-notify-biz	true	enforce-dependency-convergence	validate	true
sw-basic-notify	true	enforce-dependency-convergence	validate	true
sw-basic-job-api	true	enforce-dependency-convergence	validate	true
sw-basic-job-biz	true	enforce-dependency-convergence	validate	true
sw-basic	true	enforce-dependency-convergence	validate	true
sw-basic-iot-api	true	enforce-dependency-convergence	validate	true
sw-basic-iot	true	enforce-dependency-convergence	validate	true
sw-basic-knowledge	true	enforce-dependency-convergence	validate	true
sw-basic-agent	true	enforce-dependency-convergence	validate	true
sw-biz-system-api	true	enforce-dependency-convergence	validate	true
sw-biz-system-biz	true	enforce-dependency-convergence	validate	true
sw-biz-system	true	enforce-dependency-convergence	validate	true
sw-biz-form-api	true	enforce-dependency-convergence	validate	true
sw-biz-form-biz	true	enforce-dependency-convergence	validate	true
sw-biz-form	true	enforce-dependency-convergence	validate	true
sw-bpm-api	true	enforce-dependency-convergence	validate	true
sw-bpm-engine	true	enforce-dependency-convergence	validate	true
sw-bpm-process	true	enforce-dependency-convergence	validate	true
sw-bpm	true	enforce-dependency-convergence	validate	true
sw-biz-openapi-api	true	enforce-dependency-convergence	validate	true
sw-biz-openapi-biz	true	enforce-dependency-convergence	validate	true
sw-biz-openapi	true	enforce-dependency-convergence	validate	true
sw-biz	true	enforce-dependency-convergence	validate	true
sw-bootstrap	true	enforce-dependency-convergence	validate	true
