序号	模块	goal	execution id	phase	结果
1	smart-workflow	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
2	sw-dependencies	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
3	sw-common	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
4	sw-security	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
5	sw-framework	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
6	sw-basic-storage-api	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
7	sw-basic-storage-biz	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
8	sw-basic-notify-api	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
9	sw-basic-notify-biz	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
10	sw-basic-notify	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
11	sw-basic-job-api	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
12	sw-basic-job-biz	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
13	sw-basic	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
14	sw-basic-iot-api	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
15	sw-basic-iot	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
16	sw-basic-knowledge	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
17	sw-basic-agent	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
18	sw-biz-system-api	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
19	sw-biz-system-biz	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
20	sw-biz-system	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
21	sw-biz-form-api	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
22	sw-biz-form-biz	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
23	sw-biz-form	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
24	sw-bpm-api	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
25	sw-bpm-engine	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
26	sw-bpm-process	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
27	sw-bpm	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
28	sw-biz-openapi-api	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
29	sw-biz-openapi-biz	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
30	sw-biz-openapi	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
31	sw-biz	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
32	sw-bootstrap	maven-enforcer-plugin:3.5.0:enforce	enforce-dependency-convergence	validate	SUCCESS
