模块	tests	failures	errors	skipped
Smart-WorkFlow :: Common	32	0	0	0
Smart-WorkFlow :: Security	17	0	0	0
Smart-WorkFlow :: Basic :: Storage :: Biz	29	0	0	0
Smart-WorkFlow :: Basic :: Notify :: Biz	118	0	0	0
Smart-WorkFlow :: Basic :: Job :: Biz	51	0	0	0
Smart-WorkFlow :: Basic :: IoT	50	0	0	0
Smart-WorkFlow :: Basic :: Knowledge	1	0	0	0
Smart-WorkFlow :: Basic :: Agent	349	0	0	0
Smart-WorkFlow :: Biz :: System :: Biz	305	0	0	0
Smart-WorkFlow :: Biz :: Form :: Biz	159	0	0	0
Smart-WorkFlow :: Biz :: BPM :: Engine	61	0	0	0
Smart-WorkFlow :: Biz :: BPM :: Process	210	0	0	0
Smart-WorkFlow :: Biz :: OpenAPI :: Biz	10	0	0	0
Smart-WorkFlow :: Bootstrap	171	0	0	0
合计	1563	0	0	0
