=== 11 修改项恢复核对（29f7033 path blob == aa9da33 path blob）===
分类	path	fix_blob(29f7033)	base_blob(aa9da33)	相等
恢复	README.md	a6ed4c92088b5fcf24f5e1c22949357de04a2b15	a6ed4c92088b5fcf24f5e1c22949357de04a2b15	是
恢复	knowledge/current-status.md	d8bb5b43a5591089f4b851424119eb9f8808b1c8	d8bb5b43a5591089f4b851424119eb9f8808b1c8	是
恢复	knowledge/development-workflow.md	1afcb2d4365125567f05dfcb70bdaf5eb26d3884	1afcb2d4365125567f05dfcb70bdaf5eb26d3884	是
恢复	knowledge/history/README.md	c6a299239a97e65102b89412f2f3dd9e2bd6b92b	c6a299239a97e65102b89412f2f3dd9e2bd6b92b	是
恢复	knowledge/known-issues.md	5cba9d4bd327072bfff7b855e9a2606adbcc9927	5cba9d4bd327072bfff7b855e9a2606adbcc9927	是
恢复	memory/README.md	e4cf84ce282e388d2dd4ef3ab3577edf3906fac0	e4cf84ce282e388d2dd4ef3ab3577edf3906fac0	是
恢复	memory/features.md	94577031f0e0baa41b9b9941d1ccfac5f2d7fdb5	94577031f0e0baa41b9b9941d1ccfac5f2d7fdb5	是
恢复	memory/handoff.md	3585095c7516969fb3542c438f1da37b9cd0dc5f	3585095c7516969fb3542c438f1da37b9cd0dc5f	是
恢复	memory/issues.md	0798ed4bcd487434a79912a6f53c64c25f88c027	0798ed4bcd487434a79912a6f53c64c25f88c027	是
恢复	memory/state.md	7bbc13336a3a65364238d65282c2e1331e9dc13e	7bbc13336a3a65364238d65282c2e1331e9dc13e	是
恢复	todo/requirement-pool.md	0a56eb8c22989e2537c658415e8916bbf2c9fa6a	0a56eb8c22989e2537c658415e8916bbf2c9fa6a	是
=== 25 合法保留项核对（29f7033 path blob == cece784 path blob）===
分类	path	fix_blob(29f7033)	src_blob(cece784)	相等
保留	product/governance/supplemental-execution-prompt-template.md	4917034dcdca42deeaa5ddf447fd5e58984817de	4917034dcdca42deeaa5ddf447fd5e58984817de	是
保留	product/p51-agent-coding-engine-decoupling/ready/direction-p51-agent-coding-engine-decoupling.md	00932dca173e4af3f3716b70a9f219defc858966	00932dca173e4af3f3716b70a9f219defc858966	是
保留	product/p51-agent-coding-engine-decoupling/receipts/completion-p51-agent-coding-engine-decoupling.md	16897a17f8c414329133be4fe1a7a1d1dafb7b76	16897a17f8c414329133be4fe1a7a1d1dafb7b76	是
保留	product/p51-agent-coding-engine-decoupling/receipts/planning-final-reconciliation-p51-main-terminal-authority-03.md	620d1b31913bac692b28158b5875b384de6ba151	620d1b31913bac692b28158b5875b384de6ba151	是
保留	product/p51-agent-coding-engine-decoupling/receipts/planning-rereview-p51-main-current-state-02.md	34213eb5db9048419548347debd04ed48beac372	34213eb5db9048419548347debd04ed48beac372	是
保留	product/p51-agent-coding-engine-decoupling/receipts/planning-review-p51-agent-coding-engine-decoupling-01.md	969a3507fe35b7bdd39f4c9968e228869cc8748d	969a3507fe35b7bdd39f4c9968e228869cc8748d	是
保留	roles/executor.md	77475866d8169b20b9eb43735fbeafa3bddcce38	77475866d8169b20b9eb43735fbeafa3bddcce38	是
保留	roles/planner.md	d8507f8444dff18f5ff940220d24f5552024d6b7	d8507f8444dff18f5ff940220d24f5552024d6b7	是
保留	search_fallback/p51-branch-decoupling-exploration.md	547507fc9a1d733b9ecb816c03b0da56338a0c7b	547507fc9a1d733b9ecb816c03b0da56338a0c7b	是
保留	search_fallback/p51-main-current-state-revalidation-evidence/01-refs-and-branches.txt	6fd8144c81e536c0c4ea85fb9d5164df626889bf	6fd8144c81e536c0c4ea85fb9d5164df626889bf	是
保留	search_fallback/p51-main-current-state-revalidation-evidence/02-tracks-main-vs-develop.txt	6ced813fe273ba9543c3b32f9a090cffb7a83f93	6ced813fe273ba9543c3b32f9a090cffb7a83f93	是
保留	search_fallback/p51-main-current-state-revalidation-evidence/03-scan-smw-absport-pi-zero-hits.txt	00f78ca09058342a659dcf8f27254bf402f1e3f0	00f78ca09058342a659dcf8f27254bf402f1e3f0	是
保留	search_fallback/p51-main-current-state-revalidation-evidence/04-system-roles-per-commit.txt	e9b3510525db69a0105b85ccfc343f4ee456a5dd	e9b3510525db69a0105b85ccfc343f4ee456a5dd	是
保留	search_fallback/p51-main-current-state-revalidation-evidence/05-governance-selfcheck.txt	bb5dd67766bd2a51c8c5fe551c9b5acf50989422	bb5dd67766bd2a51c8c5fe551c9b5acf50989422	是
保留	search_fallback/p51-main-current-state-revalidation.md	aee0207b9658747b18df89dbb6db5462a4c41d22	aee0207b9658747b18df89dbb6db5462a4c41d22	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/01-p51-tracked-files.txt	080731959cfce7bbffc66d7207392d18fda44b5a	080731959cfce7bbffc66d7207392d18fda44b5a	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/02-file-headers-and-conclusions.txt	5ad7b400092153da49c13fe75b5ab4c8acba1358	5ad7b400092153da49c13fe75b5ab4c8acba1358	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/03-commit-timeline.txt	2493a203cf52969266273f31294ddb2f60053a6b	2493a203cf52969266273f31294ddb2f60053a6b	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/04-completed-authority.txt	3809342817b167ea4c71f900356e0771155d92ac	3809342817b167ea4c71f900356e0771155d92ac	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/05-g04-g06-verdicts.txt	667fd960f8c54639cdb16d6ba77029ab78650b11	667fd960f8c54639cdb16d6ba77029ab78650b11	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/06-tracked-83-vs-70.txt	20c23f23e7f0e05e2eadafb55294f3873e2a1934	20c23f23e7f0e05e2eadafb55294f3873e2a1934	是
保留	search_fallback/p51-main-terminal-history-reconciliation.md	3414612da81901e0090d996e3288049b6e3bb084	3414612da81901e0090d996e3288049b6e3bb084	是
保留	search_task/p51-branch-decoupling-exploration.md	dc9e0568cebb6c236810cea9a9ed4a6cfae4045f	dc9e0568cebb6c236810cea9a9ed4a6cfae4045f	是
保留	search_task/p51-main-current-state-revalidation.md	942e9f38eda279445697c10e7a416a8ab7b4d8ca	942e9f38eda279445697c10e7a416a8ab7b4d8ca	是
保留	search_task/p51-main-terminal-history-reconciliation.md	85418e8f9de7aca423910e18ed3387a33d6efb42	85418e8f9de7aca423910e18ed3387a33d6efb42	是
=== 211 删除项表 ===
分类	path	src_blob(cece784)	retain_commit	retain_path_blob	结果
分类	path	src_commit	src_blob	retain_commit	retain_path	retain_blob	相等/祖先
删除	docs/ops/production-ops.md	cece78474c37c552677770a3a249ce1e8e682a80	896562919f1b0a057cd33a97299b256471a41903	0712bb9ed2b888252d4d8be6fe431610e269ddc0	docs/ops/production-ops.md	896562919f1b0a057cd33a97299b256471a41903	相等
删除	knowledge/features/p45-login-security.md	cece78474c37c552677770a3a249ce1e8e682a80	77b06b1a86310dffcac55ee992db0097092c4d50	0712bb9ed2b888252d4d8be6fe431610e269ddc0	knowledge/features/p45-login-security.md	77b06b1a86310dffcac55ee992db0097092c4d50	相等
删除	knowledge/features/p52-form-workbench.md	cece78474c37c552677770a3a249ce1e8e682a80	a49850b7d1b3d1ecca782f62524573a84b2e5d2c	0712bb9ed2b888252d4d8be6fe431610e269ddc0	knowledge/features/p52-form-workbench.md	a49850b7d1b3d1ecca782f62524573a84b2e5d2c	相等
删除	knowledge/features/p56-form-grid-layout.md	cece78474c37c552677770a3a249ce1e8e682a80	2f865379d7fbe7f4b6768e6ff0ad75a77129bcbf	0712bb9ed2b888252d4d8be6fe431610e269ddc0	knowledge/features/p56-form-grid-layout.md	2f865379d7fbe7f4b6768e6ff0ad75a77129bcbf	相等
删除	knowledge/features/p57-bpm-node-extension.md	cece78474c37c552677770a3a249ce1e8e682a80	474b8e00440ae5229cdcee6123a27945a636aea7	0712bb9ed2b888252d4d8be6fe431610e269ddc0	knowledge/features/p57-bpm-node-extension.md	633b9bfb789e9939cb88eca8a6a8dc12debc3c9d	演进
删除	knowledge/history/current-status-through-2026-09-01-p45-stage3-before.md	cece78474c37c552677770a3a249ce1e8e682a80	b1e600b9c4286234d208982491399d67a0107252	0712bb9ed2b888252d4d8be6fe431610e269ddc0	knowledge/history/current-status-through-2026-09-01-p45-stage3-before.md	b1e600b9c4286234d208982491399d67a0107252	相等
删除	knowledge/history/current-status-through-2026-09-02-p52-stage3-before.md	cece78474c37c552677770a3a249ce1e8e682a80	845efbe9a5467ff3a784bddda52fd34361021a54	0712bb9ed2b888252d4d8be6fe431610e269ddc0	knowledge/history/current-status-through-2026-09-02-p52-stage3-before.md	845efbe9a5467ff3a784bddda52fd34361021a54	相等
删除	knowledge/history/current-status-through-2026-09-02-p56-stage3-before.md	cece78474c37c552677770a3a249ce1e8e682a80	adbdd63acd77ed058a260431f4895990304cc5f3	0712bb9ed2b888252d4d8be6fe431610e269ddc0	knowledge/history/current-status-through-2026-09-02-p56-stage3-before.md	adbdd63acd77ed058a260431f4895990304cc5f3	相等
删除	knowledge/history/current-status-through-2026-09-03-p57-stage3-before.md	cece78474c37c552677770a3a249ce1e8e682a80	27ce56007ca7715282490af373358a07a68fb3ee	0712bb9ed2b888252d4d8be6fe431610e269ddc0	knowledge/history/current-status-through-2026-09-03-p57-stage3-before.md	27ce56007ca7715282490af373358a07a68fb3ee	相等
删除	knowledge/session-handoff.md	cece78474c37c552677770a3a249ce1e8e682a80	b9783c3844fcaafef3a3f28bf7c8c32e8c217841	0712bb9ed2b888252d4d8be6fe431610e269ddc0	knowledge/session-handoff.md	c0a4219d3d5ea6d8bf887beef079ea0950cfad33	演进
删除	product/p45-login-security/passed/direction-p45-login-security-evidence-supplement-01.md	cece78474c37c552677770a3a249ce1e8e682a80	82eebfcdbaa04ac0f489afa164b29c3cc8844386	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/passed/direction-p45-login-security-evidence-supplement-01.md	82eebfcdbaa04ac0f489afa164b29c3cc8844386	相等
删除	product/p45-login-security/passed/direction-p45-login-security-evidence-supplement-02.md	cece78474c37c552677770a3a249ce1e8e682a80	ed7dd41b852f8a341a461440016003ca4dd3b682	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/passed/direction-p45-login-security-evidence-supplement-02.md	ed7dd41b852f8a341a461440016003ca4dd3b682	相等
删除	product/p45-login-security/passed/direction-p45-login-security-stage3.md	cece78474c37c552677770a3a249ce1e8e682a80	dc8541f2d466b7c2f31252ec9f9546b6755d8f7f	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/passed/direction-p45-login-security-stage3.md	dc8541f2d466b7c2f31252ec9f9546b6755d8f7f	相等
删除	product/p45-login-security/passed/direction-p45-login-security.md	cece78474c37c552677770a3a249ce1e8e682a80	990b5b408b2e12ff459bc357e8b868ba86a4a368	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/passed/direction-p45-login-security.md	990b5b408b2e12ff459bc357e8b868ba86a4a368	相等
删除	product/p45-login-security/receipts/completion-p45-login-security-20260901.md	cece78474c37c552677770a3a249ce1e8e682a80	1a460e8fed2cf4325aa0db267eddbeca5b2d29a8	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/completion-p45-login-security-20260901.md	1a460e8fed2cf4325aa0db267eddbeca5b2d29a8	相等
删除	product/p45-login-security/receipts/evidence-p45-h1-h7/h1-enumerate.mjs	cece78474c37c552677770a3a249ce1e8e682a80	a0e469f511e45b5071f11d475fa405fbad2b8e7b	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-h1-h7/h1-enumerate.mjs	a0e469f511e45b5071f11d475fa405fbad2b8e7b	相等
删除	product/p45-login-security/receipts/evidence-p45-h1-h7/h2-concurrent.mjs	cece78474c37c552677770a3a249ce1e8e682a80	050952005f6907f5bc86049ae62c33cf2adae03c	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-h1-h7/h2-concurrent.mjs	050952005f6907f5bc86049ae62c33cf2adae03c	相等
删除	product/p45-login-security/receipts/evidence-p45-h1-h7/h5-cross.mjs	cece78474c37c552677770a3a249ce1e8e682a80	960767b64302bba24ab487b87fc823c223409d99	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-h1-h7/h5-cross.mjs	960767b64302bba24ab487b87fc823c223409d99	相等
删除	product/p45-login-security/receipts/evidence-p45-k1-k6/k1-command.txt	cece78474c37c552677770a3a249ce1e8e682a80	8bf17e286f95c75107fe2345ba117d77ac0403dd	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-k1-k6/k1-command.txt	8bf17e286f95c75107fe2345ba117d77ac0403dd	相等
