09-11 13:00 | WF_APPROVED | 您的申请已通过 | to=1 | biz=e618bc46-ad9c-11f1-86ce-628dc5168c33
09-11 12:58 | WF_TODO | 您有一条待办 | to=1 | biz=7cf04de2-ad9d-11f1-98ad-628dc5168c33
09-11 12:58 | WF_APPROVED | 您的申请已通过 | to=1 | biz=7ab578ec-ad9d-11f1-98ad-628dc5168c33
09-11 12:58 | WF_TODO | 您有一条待办 | to=1 | biz=7ab66359-ad9d-11f1-98ad-628dc5168c33
09-11 12:57 | WF_APPROVED | 您的申请已通过 | to=1 | biz=412b184c-ad9d-11f1-98ad-628dc5168c33
09-11 12:57 | WF_TODO | 您有一条待办 | to=1 | biz=412b3f69-ad9d-11f1-98ad-628dc5168c33
09-11 12:57 | WF_TODO | 您有一条待办 | to=1 | biz=3f9d9a62-ad9d-11f1-86ce-628dc5168c33
09-11 12:57 | WF_TODO | 您有一条待办 | to=1 | biz=3e623422-ad9d-11f1-86ce-628dc5168c33
09-11 12:56 | WF_APPROVED | 您的申请已通过 | to=1 | biz=0ce0b629-ad9d-11f1-98ad-628dc5168c33
09-11 12:55 | WF_TODO | 您有一条待办 | to=1 | biz=0ce79406-ad9d-11f1-98ad-628dc5168c33
09-11 12:54 | WF_APPROVED | 您的申请已通过 | to=1 | biz=e930359a-ad9c-11f1-86ce-628dc5168c33
09-11 12:54 | WF_TODO | 您有一条待办 | to=1 | biz=e930aad7-ad9c-11f1-86ce-628dc5168c33
09-11 12:54 | WF_TODO | 您有一条待办 | to=1 | biz=e7a3c933-ad9c-11f1-86ce-628dc5168c33
09-11 12:54 | WF_TODO | 您有一条待办 | to=1 | biz=e618e363-ad9c-11f1-86ce-628dc5168c33
09-11 12:54 | WF_APPROVED | 您的申请已通过 | to=1 | biz=add1ff2f-ad9c-11f1-86ce-628dc5168c33
09-11 12:53 | WF_TODO | 您有一条待办 | to=1 | biz=add8dd0c-ad9c-11f1-86ce-628dc5168c33
09-11 12:47 | WF_TODO | 您收到一条沟通征询 | to=2003 | biz=d30ebaf8-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=1 | biz=d30ee215-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_REJECTED | 您的申请已撤回 | to=2005 | biz=d19d7752-ad9b-11f1-a00c-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=1 | biz=d19d9e6f-ad9b-11f1-a00c-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=2002 | biz=d0aa65bf-ad9b-11f1-a00c-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=2002 | biz=cf1dd1b2-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_APPROVED | 您的申请已通过 | to=2005 | biz=cd94e798-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_TODO | 您收到一条委托任务 | to=2001 | biz=cd94e798-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=1 | biz=cd94e7a5-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_REJECTED | 您的申请已驳回 | to=2005 | biz=cc0f80c2-ad9b-11f1-a00c-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=1 | biz=cc0f80cf-ad9b-11f1-a00c-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=1 | biz=cad4dd32-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_TODO | 您收到一条加签任务 | to=2002 | biz=c99d4832-ad9b-11f1-a00c-628dc5168c33
09-11 12:46 | WF_TODO | 您收到一条加签任务 | to=2001 | biz=c99d4832-ad9b-11f1-a00c-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=1 | biz=c99de47f-ad9b-11f1-a00c-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=1 | biz=c77c634c-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_APPROVED | 您的申请已通过 | to=2005 | biz=c638245c-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=1 | biz=c6387189-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_REJECTED | 您的申请已驳回 | to=2005 | biz=c4af6169-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=1 | biz=c4af8886-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_REJECTED | 您的申请未通过 | to=2005 | biz=c3744946-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_TODO | 您有一条待办 | to=1 | biz=c374e593-ad9b-11f1-8e1b-628dc5168c33
09-11 12:46 | WF_APPROVED | 您的申请已通过 | to=2005 | biz=bafc5132-ad9b-11f1-a00c-628dc5168c33
09-11 12:46 | WF_TODO | 您收到一条委托任务 | to=2001 | biz=bafc5132-ad9b-11f1-a00c-628dc5168c33
