id	module	name	checklist_status	knowledge_index_status	memory_projection	mapping_P_M_I_ADV	authority	target_status	fix_file	fix_result
M01-F01-01	M01	部门管理/新增	✅	✅	aggregate-only(✅46/🟦22/⬜22)	system-mgmt-crud（第 2 个）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M01-F01-02	M01	部门管理/修改	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P44	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M01-F01-03	M01	部门管理/删除	✅	✅	aggregate-only(✅46/🟦22/⬜22)	system-mgmt-crud	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M01-F01-04	M01	部门管理/查询	✅	✅	aggregate-only(✅46/🟦22/⬜22)	department-query-filtering（第 22 个）/ I31	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M01-F01-05	M01	部门管理/负责人设置	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P26	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M01-F02-01	M01	人员管理/新增	✅	✅	aggregate-only(✅46/🟦22/⬜22)	user-org-association-query（第 21 个）/ I32	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M01-F02-02	M01	人员管理/修改	✅	✅	aggregate-only(✅46/🟦22/⬜22)	checklist-gap-hardening（第 12 个）/ I33	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M01-F02-03	M01	人员管理/删除	✅	✅	aggregate-only(✅46/🟦22/⬜22)	system-mgmt-crud	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M01-F02-04	M01	人员管理/查询	✅	✅	aggregate-only(✅46/🟦22/⬜22)	user-org-association-query / I34	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M01-F02-05	M01	人员管理/批量导入导出	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P27	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M01-F03-01	M01	岗位管理/维护	✅	✅	aggregate-only(✅46/🟦22/⬜22)	user-org-association-query / I35	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M01-F04-01	M01	用户组管理/维护	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	user-group-membership（第 25 个）/ P28 / I36	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M01-F05-01	M01	租户/公司管理/维护	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P29	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M02-F01-01	M02	角色管理/维护	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P1 已核销（2026-08-20）；其余范围独立待核	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M02-F02-01	M02	菜单权限/配置	✅	✅	aggregate-only(✅46/🟦22/⬜22)	role-menu-permission-parity（第 26 个）/ P1	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M02-F03-01	M02	按钮权限/配置	✅	✅	aggregate-only(✅46/🟦22/⬜22)	role-menu-permission-parity / P1	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M02-F04-01	M02	数据权限/配置	✅	✅	aggregate-only(✅46/🟦22/⬜22)	data-scope-enforcement（第 13 个）/ I37	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M02-F05-01	M02	资源管理/维护	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P30	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M02-F06-01	M02	登录认证/账密登录	✅	✅	aggregate-only(✅46/🟦22/⬜22)	p45-login-security（第 37 个）/ P45	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M02-F06-02	M02	登录认证/单点登录	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P31	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M03-F01-01	M03	表单设计器/拖拽设计	✅	✅	aggregate-only(✅46/🟦22/⬜22)	p56-form-grid-layout（第 39 个）/ P56/P46	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M03-F01-02	M03	表单设计器/控件库	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P2 / I38（8/17 控件）	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M03-F02-01	M03	表单管理/维护	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P2 / I39（删除/版本）	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M03-F03-01	M03	表单规则/联动校验	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P2	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M03-F04-01	M03	数据管理/增删改查	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P2 / I40	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M03-F04-02	M03	数据管理/导入导出	✅	✅	aggregate-only(✅46/🟦22/⬜22)	form-data-import-export（第 36 个）/ P32	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M03-F05-01	M03	数据源/数据字典	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P2	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
