PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | bc9084ce-b017-11f1-9250-00ffa7734675 | 2026-09-14 16:42:43.019398
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | a7b43ad7-b01e-11f1-9198-00ffa7734675 | 2026-09-14 17:28:34.813066
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | d018f57a-b01e-11f1-9198-00ffa7734675 | 2026-09-14 17:29:41.934911
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | d018f57a-b01e-11f1-9198-00ffa7734675 | 2026-09-14 17:29:41.946991
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | 1fed5f7d-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:00:33.898646
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | 1fed5f7d-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:00:33.912647
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | 21f53d80-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:00:37.294447
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | 21f53d80-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:00:37.307271
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | 6c664081-b018-11f1-9250-00ffa7734675 | 2026-09-14 18:01:35.43545
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | 6c664081-b018-11f1-9250-00ffa7734675 | 2026-09-14 18:01:35.449451
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | 44e506f3-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:01:38.845427
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | 44e506f3-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:01:38.861702
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | 6a77dd19-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:02:39.542864
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | 6a77dd19-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:02:39.559864
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | 6cdf3f3c-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:02:42.964941
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | 6cdf3f3c-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:02:42.993247
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | 83bf1cdf-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:03:21.394248
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | 83bf1cdf-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:03:21.409162
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | 96213a92-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:03:52.698044
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | ac3515a5-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:04:29.219306
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | 9cc2bd72-b026-11f1-a00c-00ffa7734675 | 2026-09-14 18:25:33.108024
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | 9cc2bd72-b026-11f1-a00c-00ffa7734675 | 2026-09-14 18:25:33.119025
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | aab720c9-b026-11f1-a00c-00ffa7734675 | 2026-09-14 18:25:56.164799
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | aab720c9-b026-11f1-a00c-00ffa7734675 | 2026-09-14 18:25:56.175802
PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | 21bca43c-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:29:14.885266
PROCESS_APPROVED | 10001 | EMAIL | FAILED | 您的申请已通过 | 1 | 21bca43c-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:29:14.895279
PROCESS_DISAPPROVED | 10001 | IN_APP | SUCCESS | 您的申请未通过 | 1 | a19cea9f-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:18:31.060358
PROCESS_DISCARDED | 10001 | IN_APP | SUCCESS | 您的申请已废弃 | 1 | 48a5cdaf-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:16:00.812086
PROCESS_REJECTED | 10001 | IN_APP | SUCCESS | 您的申请已驳回 | 1 | e5b10283-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:15.138458
PROCESS_RETURNED | 10001 | IN_APP | SUCCESS | 您的申请已退回 | 1 | 57e144a5-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:30:47.382486
PROCESS_RETURNED | 10001 | IN_APP | SUCCESS | 您的申请已退回 | 1 | 16cc3c94-b028-11f1-a7d5-00ffa7734675 | 2026-09-14 18:36:07.79072
