id	module	type	signature	def	impl	ret_cat	missing_sem	fail_sem	optional	migration	prod_calls	test_refs	flags	note
AM-055	bpm	BpmDeployFacade	String deployClasspathBpmn(String resourcePath, String deploymentName)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmDeployFacade.java:24	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmDeployFacadeImpl.java:47	STRING	NON_NULL	THROWS	N	WRAP_NONNULL	1	0		
AM-056	bpm	BpmDeployFacade	byte[] translateToBpmn(ProcessGraph graph)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmDeployFacade.java:36	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmDeployFacadeImpl.java:58	BYTE_ARRAY	NON_NULL	THROWS	N	WRAP_NONNULL	1	0		
AM-057	bpm	BpmDeployFacade	BpmDeployResult deployModel(byte[] bpmnXml, String deploymentName)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmDeployFacade.java:49	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmDeployFacadeImpl.java:68	OBJECT	NON_NULL	THROWS	N	WRAP_NONNULL	1	0		
AM-058	bpm	BpmDeployFacade	String getBpmnXml(String processDefinitionId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmDeployFacade.java:61	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmDeployFacadeImpl.java:107	STRING	EXC_MISSING	THROWS	N	EXC_TO_EMPTY	1	1		定义缺失抛IllegalState
AM-059	bpm	BpmDeployFacade	void suspendProcessDefinition(String processDefinitionId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmDeployFacade.java:66	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmDeployFacadeImpl.java:124	VOID	VOID_NA	THROWS	N	VOID_RESULT	2	0		
AM-060	bpm	BpmDeployFacade	void activateProcessDefinition(String processDefinitionId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmDeployFacade.java:71	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmDeployFacadeImpl.java:133	VOID	VOID_NA	THROWS	N	VOID_RESULT	1	0		
AM-061	bpm	BpmDeployFacade	String findProcessDefinitionIdByDeployment(String deploymentId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmDeployFacade.java:76	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmDeployFacadeImpl.java:142	STRING	NULL_RETURN	TOLERANT	N	WRAP_NULL	0	0	ZERO_CALLER:UNUSED_FACADE_METHOD	
AM-062	bpm	BpmRuntimeFacade	String startProcess(String processDefKey, String businessKey, Map<String, Object> variables, String tenantId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmRuntimeFacade.java:28	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmRuntimeFacadeImpl.java:35	STRING	NON_NULL	THROWS	N	WRAP_NONNULL	4	4		
AM-063	bpm	BpmRuntimeFacade	List<String> getActiveActivityIds(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmRuntimeFacade.java:42	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmRuntimeFacadeImpl.java:45	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	2	4		
AM-064	bpm	BpmRuntimeFacade	List<BpmActivityDTO> queryHistoricActivities(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmRuntimeFacade.java:55	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmRuntimeFacadeImpl.java:60	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	2	4		
AM-065	bpm	BpmRuntimeFacade	Map<String, Object> getProcessVariables(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmRuntimeFacade.java:63	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmRuntimeFacadeImpl.java:165	MAP	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	2	1		
AM-066	bpm	BpmRuntimeFacade	String getProcessInstanceStatus(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmRuntimeFacade.java:72	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmRuntimeFacadeImpl.java:181	STRING	SENTINEL	TOLERANT	N	SENTINEL_TYPED	1	0		"NOT_FOUND"字面哨兵
