id	module	type	signature	def	impl	ret_cat	missing_sem	fail_sem	optional	migration	prod_calls	test_refs	flags	note
AM-102	bpm	ConsensusSettlementPort	void onNegativeSettlement(String tenantId, String processInstanceId, String nodeKey, String reason)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/participant/ConsensusSettlementPort.java:20	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/config/BpmLifecyclePortConfiguration.java:102	VOID	VOID_NA	TOLERANT	N	VOID_RESULT	1	0		幂等
AM-103	bpm	ConsensusVotePort	boolean record(String tenantId, String processInstanceId, String nodeKey, String taskId, String actorId, String outcome)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/participant/ConsensusVotePort.java:15	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/config/BpmLifecyclePortConfiguration.java:79	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	2	0		false=幂等重复
AM-104	bpm	ConsensusVotePort	long count(String tenantId, String processInstanceId, String nodeKey, String outcome)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/participant/ConsensusVotePort.java:21	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/config/BpmLifecyclePortConfiguration.java:87	LONG	SENTINEL	TOLERANT	N	SENTINEL_TYPED	1	0		-1=端口不可用回退
AM-105	bpm	ConsensusVotePort	long total(String tenantId, String processInstanceId, String nodeKey)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/participant/ConsensusVotePort.java:31	default未覆写@ConsensusVotePort.java:31	LONG	SENTINEL	TOLERANT	N	SENTINEL_TYPED	1	0	DEFAULT	-1 default未覆写
AM-106	bpm	DynamicBranchPort	List<FrozenBranch> freeze(String tenantId, String processInstanceId, String nodeKey, String sourceType, String sourceDesc, String mode, List<BranchCandidate> candidates)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/participant/DynamicBranchPort.java:21	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/config/DynamicBranchPortConfiguration.java:33	LIST	EMPTY_COLL	THROWS	N	COLL_2LAYER	1	2		缺租户上下文抛IAE
AM-107	bpm	DynamicBranchPort	void recordAction(String tenantId, String processInstanceId, String nodeKey, String leaderId, String taskId, String action, String reason)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/participant/DynamicBranchPort.java:30	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/config/DynamicBranchPortConfiguration.java:90	VOID	VOID_NA	TOLERANT	N	VOID_RESULT	1	0		幂等
AM-108	bpm	DynamicBranchPort	void closeRemaining(String tenantId, String processInstanceId, String nodeKey, String reason)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/participant/DynamicBranchPort.java:37	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/config/DynamicBranchPortConfiguration.java:131	VOID	VOID_NA	TOLERANT	N	VOID_RESULT	1	1		幂等
AM-109	bpm	LifecycleTaskEntryPort	String onTaskCreate(Long tenantId, String processInstanceId, String nodeKey, String taskId, List<String> resolvedUsers, String nodeConfig)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/participant/LifecycleTaskEntryPort.java:27	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/config/BpmLifecyclePortConfiguration.java:29	STRING	NULL_RETURN	TOLERANT	N	WRAP_NULL	1	0		null=不改写
AM-110	bpm	LifecycleTaskEntryPort	List<String> resolveParticipantsByFunction(Long tenantId, String processInstanceId, String nodeKey, String taskId, Map<String, Object> variables, String nodeConfig)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/participant/LifecycleTaskEntryPort.java:34	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/config/BpmLifecyclePortConfiguration.java:39	LIST	NULL_RETURN	TOLERANT	N	WRAP_NULL	1	0		null=未配置函数
AM-111	bpm	NodeActionAuditPort	void recordCopy(String processInstanceId, String nodeKey, String taskId, String recipientId, String status, String reason, Long tenantId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/participant/NodeActionAuditPort.java:8	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/service/impl/NodeActionAuditServiceImpl.java:30	VOID	VOID_NA	TOLERANT	N	VOID_RESULT	1	0		
