id	module	type	signature	def	impl	ret_cat	missing_sem	fail_sem	optional	migration	prod_calls	test_refs	flags	note
AM-067	bpm	BpmTaskFacade	List<BpmTaskDTO> queryTodo(String tenantId, String assignee)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:26	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:57	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	2	3		
AM-068	bpm	BpmTaskFacade	List<BpmTaskDTO> queryTodoPage(String tenantId, String assignee, int offset, int limit)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:37	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:323	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	1	3		
AM-069	bpm	BpmTaskFacade	long countTodo(String tenantId, String assignee)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:46	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:336	LONG	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	1	3		
AM-070	bpm	BpmTaskFacade	List<BpmTaskDTO> queryByProcessInstance(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:54	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:69	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	7	4		
AM-071	bpm	BpmTaskFacade	BpmTaskDTO getTask(String taskId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:62	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:79	OBJECT	NULL_RETURN	TOLERANT	N	WRAP_NULL	8	15		
AM-072	bpm	BpmTaskFacade	void complete(String taskId, Map<String, Object> variables)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:70	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:88	VOID	VOID_NA	THROWS	N	VOID_RESULT	1	0		
AM-073	bpm	BpmTaskFacade	void completeAsUser(String taskId, String userId, Map<String, Object> variables)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:73	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:110	VOID	VOID_NA	THROWS	N	VOID_RESULT	2	0		
AM-074	bpm	BpmTaskFacade	void terminateProcess(String processInstanceId, String reason)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:76	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:222	VOID	VOID_NA	THROWS	N	VOID_RESULT	6	0		
AM-075	bpm	BpmTaskFacade	void suspendProcessInstance(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:79	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:237	VOID	VOID_NA	THROWS	N	VOID_RESULT	1	0		
AM-076	bpm	BpmTaskFacade	void resumeProcessInstance(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:82	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:252	VOID	VOID_NA	THROWS	N	VOID_RESULT	1	0		
AM-077	bpm	BpmTaskFacade	boolean isProcessInstanceSuspended(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:85	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:266	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	3	0		
AM-078	bpm	BpmTaskFacade	boolean canHandle(String taskId, String userId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:88	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:103	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	3	0		
AM-079	bpm	BpmTaskFacade	void returnTask(String taskId, String targetNodeId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:91	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:276	VOID	VOID_NA	THROWS	N	VOID_RESULT	1	0		
AM-080	bpm	BpmTaskFacade	boolean isProcessActive(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:99	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:444	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	3	7		
AM-081	bpm	BpmTaskFacade	String getVariable(String processInstanceId, String name)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:108	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:452	STRING	NULL_RETURN	TOLERANT	N	WRAP_NULL	7	5		
AM-082	bpm	BpmTaskFacade	String getBusinessKey(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:116	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:470	STRING	NULL_RETURN	TOLERANT	N	WRAP_NULL	3	1		
AM-083	bpm	BpmTaskFacade	Map<String, Object> getVariables(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:124	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:344	MAP	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	2	4		
AM-084	bpm	BpmTaskFacade	void setVariable(String processInstanceId, String name, Object value)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:127	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:349	VOID	VOID_NA	THROWS	N	VOID_RESULT	1	0		
AM-085	bpm	BpmTaskFacade	Map<String, Object> getHistoricVariables(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:133	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:354	MAP	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	1	0		
AM-086	bpm	BpmTaskFacade	List<BpmTaskDTO> queryProcessedPage(String tenantId, String assignee, int offset, int limit)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:144	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:366	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	3	7		
AM-087	bpm	BpmTaskFacade	long countProcessed(String tenantId, String assignee)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:153	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:386	LONG	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	3	7		
AM-088	bpm	BpmTaskFacade	List<BpmTaskDTO> queryHistoryByProcessInstance(String processInstanceId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:161	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:396	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	2	6		
AM-089	bpm	BpmTaskFacade	void setAssignee(String taskId, String userId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:169	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:153	VOID	VOID_NA	THROWS	N	VOID_RESULT	3	0		
AM-090	bpm	BpmTaskFacade	void delegateTask(String taskId, String userId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:175	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:165	VOID	VOID_NA	THROWS	N	VOID_RESULT	1	0		
AM-091	bpm	BpmTaskFacade	String getTaskOwner(String taskId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:180	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:184	STRING	NULL_RETURN	TOLERANT	N	WRAP_NULL	0	0	ZERO_CALLER:UNUSED_FACADE_METHOD	javadoc缺null态;任务缺失返null
AM-092	bpm	BpmTaskFacade	void addCandidateUser(String taskId, String userId)	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/facade/BpmTaskFacade.java:185	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/facade/BpmTaskFacadeImpl.java:190	VOID	VOID_NA	THROWS	N	VOID_RESULT	0	0	ZERO_CALLER:UNUSED_FACADE_METHOD	
