id	module	type	signature	def	impl	ret_cat	missing_sem	fail_sem	optional	migration	prod_calls	test_refs	flags	note
AM-023	form	FormDataSubmitFacade	String submit(String formKey, Map<String, Object> submittedData, String idempotencyKey)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/facade/FormDataSubmitFacade.java:23	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/FormDataSubmitFacadeImpl.java:22	STRING	NON_NULL	THROWS	N	WRAP_NONNULL	3	4		
AM-024	form	FormDataSubmitFacade	String submit(String formKey, Map<String, Object> submittedData, String idempotencyKey, String dispatchChannel)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/facade/FormDataSubmitFacade.java:30	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/FormDataSubmitFacadeImpl.java:22	STRING	NON_NULL	THROWS	N	WRAP_NONNULL	3	4	DEFAULT	
AM-025	form	FormDataSubmitFacade	String submit(String formKey, Map<String, Object> submittedData, String idempotencyKey, String dispatchChannel, String processDefKey)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/facade/FormDataSubmitFacade.java:39	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/FormDataSubmitFacadeImpl.java:22	STRING	NON_NULL	THROWS	N	WRAP_NONNULL	3	4	DEFAULT	
AM-026	form	FormDataSubmitFacade	void validateSubmission(String formKey, Map<String, Object> submittedData)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/facade/FormDataSubmitFacade.java:50	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/FormDataSubmitFacadeImpl.java:42	VOID	VOID_NA	THROWS	N	VOID_RESULT	1	0	DEFAULT	
AM-027	form	FormDefinitionService	String getFormDefinition(String formKey)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/form/FormDefinitionService.java:20	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/impl/FormDefinitionServiceImpl.java:32	STRING	NULL_RETURN	TOLERANT	N	WRAP_NULL	2	1		
AM-028	form	FormDefinitionService	String getFormDefinitionById(String formId)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/form/FormDefinitionService.java:28	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/impl/FormDefinitionServiceImpl.java:37	STRING	NULL_RETURN	TOLERANT	N	WRAP_NULL	0	0	ZERO_CALLER:UNUSED_FACADE_METHOD	
AM-029	form	FormDefinitionService	boolean formExists(String formKey)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/form/FormDefinitionService.java:36	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/impl/FormDefinitionServiceImpl.java:42	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	3	0		
AM-030	form	FormDefinitionService	FormDefDTO getFormDef(String formKey)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/form/FormDefinitionService.java:44	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/impl/FormDefinitionServiceImpl.java:47	OBJECT	NULL_RETURN	TOLERANT	N	WRAP_NULL	6	9		
AM-031	form	FormDefinitionService	FormDefDTO getFormDefById(String formId)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/form/FormDefinitionService.java:52	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/impl/FormDefinitionServiceImpl.java:52	OBJECT	NULL_RETURN	TOLERANT	N	WRAP_NULL	0	0	ZERO_CALLER:UNUSED_FACADE_METHOD	
AM-032	form	FormDefinitionService	boolean canCurrentUserInitiate(String formKey)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/form/FormDefinitionService.java:55	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/impl/FormDefinitionServiceImpl.java:57	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	2	1		
AM-033	form	FormDefinitionService	boolean canCurrentUserPerformAction(String formKey, String action)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/form/FormDefinitionService.java:58	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/impl/FormDefinitionServiceImpl.java:62	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	2	3	DEFAULT	
AM-034	form	FormDefinitionService	boolean canCurrentUserAccessRecord(String formKey, String recordId)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/form/FormDefinitionService.java:73	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/impl/FormDefinitionServiceImpl.java:75	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	1	2	DEFAULT	
AM-035	form	ExtDatasourceQueryPort	ExtQueryResult executeQuery(Long datasourceId, String sql, Long operatorId, String operatorName)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/port/ExtDatasourceQueryPort.java:30	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/adapter/FormExtDatasourceQueryAdapter.java:25	OBJECT	NON_NULL	THROWS	N	WRAP_NONNULL	1	0		数据源缺失抛IAE;缺失vs校验边界实施时定
AM-036	form	FlowStartPort	Long acceptFlowStart(FormSubmittedEvent event)	sw-biz/sw-biz-form/sw-biz-form-api/M/form/api/port/FlowStartPort.java:21	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/port/FlowStartPortImpl.java:45	BOXED_LONG	NULL_RETURN	TOLERANT	N	WRAP_NULL	1	0		null=无启用绑定no-op
