id	module	type	signature	def	impl	ret_cat	missing_sem	fail_sem	optional	migration	prod_calls	test_refs	flags	note
AM-005	notify	NotifyChannelAdapter	NotifyChannel channel()	sw-basic/sw-basic-notify/sw-basic-notify-api/M/notify/api/NotifyChannelAdapter.java:6	sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/adapters/FeishuNotifyChannelAdapter.java:53; sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/adapters/EmailNotifyChannelAdapter.java:50; sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/adapters/DingtalkNotifyChannelAdapter.java:51; sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/adapters/WeComNotifyChannelAdapter.java:51; sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/impl/P58DebugNotifyChannelAdapter.java:23	OBJECT	NON_NULL	TOLERANT	N	WRAP_NONNULL	3	1		
AM-006	notify	NotifyChannelAdapter	NotifySendResult send(NotifySendRequest request)	sw-basic/sw-basic-notify/sw-basic-notify-api/M/notify/api/NotifyChannelAdapter.java:8	sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/adapters/FeishuNotifyChannelAdapter.java:58; sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/adapters/EmailNotifyChannelAdapter.java:55; sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/adapters/DingtalkNotifyChannelAdapter.java:56; sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/adapters/WeComNotifyChannelAdapter.java:56; sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/impl/P58DebugNotifyChannelAdapter.java:28	OBJECT	NON_NULL	STATE_RESULT	N	WRAP_NONNULL	2	1		
AM-007	notify	NotifyFacade	void send(SendNotifyCommand cmd)	sw-basic/sw-basic-notify/sw-basic-notify-api/M/notify/api/NotifyFacade.java:22	sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/impl/NotifyFacadeImpl.java:74	VOID	VOID_NA	THROWS	N	VOID_RESULT	6	28		
AM-008	notify	NotifyFacade	NotifySendResult send(NotifySendRequest request)	sw-basic/sw-basic-notify/sw-basic-notify-api/M/notify/api/NotifyFacade.java:25	sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/impl/NotifyFacadeImpl.java:74	OBJECT	NON_NULL	STATE_RESULT	N	WRAP_NONNULL	6	28		
AM-009	notify	NotifyFacade	NotifySendResult attemptDelivery(NotifySendRequest request)	sw-basic/sw-basic-notify/sw-basic-notify-api/M/notify/api/NotifyFacade.java:35	sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/impl/NotifyFacadeImpl.java:147	OBJECT	NON_NULL	STATE_RESULT	N	WRAP_NONNULL	2	4		
AM-010	notify	NotifyLinkAuthorizer	boolean canOpen(String linkType, String linkId)	sw-basic/sw-basic-notify/sw-basic-notify-api/M/notify/api/NotifyLinkAuthorizer.java:20	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/notify/BpmNotifyLinkAuthorizer.java:38	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	1	0		
AM-011	notify	NotifyRoutingService	List<NotifyChannel> channelsFor(String eventType, Long recipientId)	sw-basic/sw-basic-notify/sw-basic-notify-api/M/notify/api/NotifyRoutingService.java:12	sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/service/impl/NotifyRoutingServiceImpl.java:52	LIST	NON_NULL	TOLERANT	N	COLL_2LAYER	3	3		IN_APP保底恒在列
AM-012	notify	NotifyRoutingService	boolean required(String eventType)	sw-basic/sw-basic-notify/sw-basic-notify-api/M/notify/api/NotifyRoutingService.java:15	sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/service/impl/NotifyRoutingServiceImpl.java:98	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	0	1	ZERO_CALLER:UNUSED_FACADE_METHOD	
AM-013	notify	NotifyRoutingService	NotifyTemplateSelection templateFor(String eventType, NotifyChannel channel, Long tenantId)	sw-basic/sw-basic-notify/sw-basic-notify-api/M/notify/api/NotifyRoutingService.java:21	sw-basic/sw-basic-notify/sw-basic-notify-biz/M/notify/service/impl/NotifyRoutingServiceImpl.java:104	OBJECT	NULL_RETURN	TOLERANT	N	WRAP_NULL	1	0	DEFAULT	
AM-014	notify	NotifyTargetResolver	String resolveEmail(Long userId)	sw-basic/sw-basic-notify/sw-basic-notify-api/M/notify/api/NotifyTargetResolver.java:19	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/notify/NotifyTargetResolverImpl.java:37	STRING	NULL_RETURN	TOLERANT	N	WRAP_NULL	1	0		
