id	module	type	signature	def	impl	ret_cat	missing_sem	fail_sem	optional	migration	prod_calls	test_refs	flags	note
AM-037	system	DeptQueryFacade	List<DeptOptionDTO> searchActiveDepts(String keyword, int limit)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/dept/DeptQueryFacade.java:23	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/DeptFacadeImpl.java:35	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	0	0	ZERO_CALLER:UNUSED_FACADE_METHOD	
AM-038	system	DeptQueryFacade	List<Long> findActiveDeptIds(Collection<Long> ids)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/dept/DeptQueryFacade.java:31	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/DeptFacadeImpl.java:50	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	2	1		
AM-039	system	DictFacade	List<DictItemDTO> listByType(String dictType)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/dict/DictFacade.java:21	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/DictFacadeImpl.java:30	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	1	2		
AM-040	system	DictFacade	boolean isValidCode(String dictType, String code)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/dict/DictFacade.java:33	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/DictFacadeImpl.java:41	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	1	2		
AM-041	system	DictFacade	String resolveLabel(String dictType, String code)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/dict/DictFacade.java:42	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/DictFacadeImpl.java:46	STRING	NULL_RETURN	TOLERANT	N	WRAP_NULL	0	2	ZERO_CALLER:UNUSED_FACADE_METHOD	
AM-042	system	TenantValidityFacade	boolean isValid(Long tenantId)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/tenant/TenantValidityFacade.java:18	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/config/SystemAutoConfiguration.java:55(方法引用)	BOOL	PRIM_ANSWER	TOLERANT	N	PRIM_BOXED	1	1		
AM-043	system	UserQueryFacade	List<UserOptionDTO> searchActiveUsers(String keyword, int limit)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/user/UserQueryFacade.java:24	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/UserFacadeImpl.java:38	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	1	0		
AM-044	system	UserQueryFacade	Map<Long, String> getUserDisplayNames(Collection<Long> ids)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/user/UserQueryFacade.java:32	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/UserFacadeImpl.java:54	MAP	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	5	2		
AM-045	system	UserQueryFacade	List<Long> findActiveUserIds(Collection<Long> ids)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/user/UserQueryFacade.java:35	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/UserFacadeImpl.java:69	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	7	9		
AM-046	system	UserQueryFacade	List<Long> findActiveUserIds(Collection<Long> ids, Long tenantId)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/user/UserQueryFacade.java:38	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/UserFacadeImpl.java:69	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	7	9		
AM-047	system	UserQueryFacade	List<Long> findActiveUserIdsByRoleCodes(Collection<String> roleCodes)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/user/UserQueryFacade.java:41	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/UserFacadeImpl.java:82	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	2	0		
AM-048	system	UserQueryFacade	List<Long> findActiveUserIdsByRoleCodes(Collection<String> roleCodes, Long tenantId)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/user/UserQueryFacade.java:44	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/UserFacadeImpl.java:82	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	2	0		
AM-049	system	UserQueryFacade	List<Long> findActiveUserIdsByDeptLeaders(Collection<Long> deptIds, Long tenantId)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/user/UserQueryFacade.java:50	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/UserFacadeImpl.java:95	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	2	7		
AM-050	system	UserQueryFacade	List<Long> findActiveUserIdsByPostCodes(Collection<String> postCodes, Long tenantId)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/user/UserQueryFacade.java:56	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/UserFacadeImpl.java:103	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	1	3		
AM-051	system	UserQueryFacade	List<Long> findActiveUserIdsByDeptAndPost(Long deptId, String postCode, Long tenantId)	sw-biz/sw-biz-system/sw-biz-system-api/M/system/api/user/UserQueryFacade.java:62	sw-biz/sw-biz-system/sw-biz-system-biz/M/system/service/impl/UserFacadeImpl.java:112	LIST	EMPTY_COLL	TOLERANT	N	COLL_2LAYER	1	5		
