id	kind	ref
AM-093	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/ApprovalUserTaskTranslator.java:72
AM-093	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/ConditionGatewayTranslator.java:19
AM-093	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/ConsensusNodeTranslator.java:36
AM-093	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/DynamicParallelNodeTranslator.java:44
AM-093	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/EndEventTranslator.java:31
AM-093	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/StartEventTranslator.java:31
AM-093	PROD	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/node/BpmNodeCapabilityDTO.java:27
AM-093	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/registry/BpmNodeRegistryImpl.java:60
AM-093	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/registry/BpmNodeRegistryImpl.java:61
AM-093	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/registry/BpmNodeRegistryImpl.java:81
AM-093	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/registry/BpmNodeRegistryImpl.java:85
AM-094	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/ApprovalUserTaskTranslator.java:77
AM-094	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/ConditionGatewayTranslator.java:20
AM-094	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/ConsensusNodeTranslator.java:39
AM-094	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/DynamicParallelNodeTranslator.java:49
AM-094	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/EndEventTranslator.java:36
AM-094	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/ServiceTaskNodeTranslator.java:38
AM-094	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/StartEventTranslator.java:36
AM-094	PROD	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/node/BpmNodeCapabilityDTO.java:24
AM-094	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/registry/BpmNodeRegistryImpl.java:93
AM-094	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/validator/GraphValidator.java:211
AM-094	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/validator/GraphValidator.java:218
AM-094	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/validator/GraphValidator.java:370
AM-094	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/validator/GraphValidator.java:376
AM-095	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/ApprovalUserTaskTranslator.java:101
AM-095	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/ConsensusNodeTranslator.java:53
AM-095	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/DynamicParallelNodeTranslator.java:69
AM-095	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/ServiceTaskNodeTranslator.java:51
AM-095	PROD	sw-biz/sw-bpm/sw-bpm-api/M/bpm/api/node/BpmNodeRegistry.java:40
AM-096	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/registry/BpmNodeRegistryImpl.java:71
AM-096	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/translator/GraphToBpmnTranslator.java:109
AM-096	TEST	sw-biz/sw-bpm/sw-bpm-engine/T/bpm/engine/integration/P57IsolatedVerificationFlowableTest.java:94
AM-096	TEST	sw-biz/sw-bpm/sw-bpm-engine/T/bpm/engine/integration/P57IsolatedVerificationFlowableTest.java:96
AM-097	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/registry/BpmNodeRegistryImpl.java:76
AM-097	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/validator/GraphValidator.java:100
AM-097	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/validator/GraphValidator.java:210
AM-097	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/validator/GraphValidator.java:369
AM-097	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/validator/GraphValidator.java:375
AM-097	TEST	sw-biz/sw-bpm/sw-bpm-process/T/bpm/process/validator/GraphValidatorTest.java:44
AM-098	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/controller/BpmProcessDefController.java:336
AM-099	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/validator/GraphValidator.java:104
AM-099	TEST	sw-biz/sw-bpm/sw-bpm-process/T/bpm/process/validator/GraphValidatorTest.java:46
