id	kind	ref
AM-100	IMPL	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/nodefunc/TenantAdminParticipantFunction.java:24
AM-100	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/service/NodeFunctionService.java:156
AM-101	IMPL	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/nodefunc/AuditTrailResultFunction.java:19
AM-101	IMPL	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/nodefunc/ResultEchoFunction.java:18
AM-101	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/service/NodeFunctionService.java:213
AM-113	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/P58DebugParticipantAdapter.java:19
AM-113	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/ParticipantResolverRegistry.java:86
AM-113	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/ParticipantResolverRegistry.java:87
AM-114	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/P58DebugParticipantAdapter.java:24
AM-114	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/ParticipantResolverRegistry.java:59
AM-115	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/AdapterParticipantResolver.java:22
AM-115	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/DeptLeaderParticipantResolver.java:23
AM-115	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/DeptPostParticipantResolver.java:26
AM-115	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/ExpressionParticipantResolver.java:16
AM-115	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/FixedUserParticipantResolver.java:23
AM-115	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/PostParticipantResolver.java:23
AM-115	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/RoleParticipantResolver.java:23
AM-115	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/ParticipantResolverRegistry.java:74
AM-115	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/ParticipantResolverRegistry.java:75
AM-116	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/AdapterParticipantResolver.java:27
AM-116	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/DeptLeaderParticipantResolver.java:28
AM-116	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/DeptPostParticipantResolver.java:31
AM-116	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/ExpressionParticipantResolver.java:21
AM-116	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/FixedUserParticipantResolver.java:28
AM-116	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/PostParticipantResolver.java:28
AM-116	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/RoleParticipantResolver.java:28
AM-116	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/participant/ParticipantResolverRegistry.java:46
AM-120	IMPL	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/resolver/FixedApproverResolver.java:32
AM-120	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/service/ProcessStartService.java:144
AM-120	TEST	sw-biz/sw-bpm/sw-bpm-process/T/bpm/process/service/ProcessStartInitiatorValidationTest.java:81
AM-120	TEST	sw-biz/sw-bpm/sw-bpm-process/T/bpm/process/service/ProcessStartServiceTest.java:52
AM-120	TEST	sw-biz/sw-bpm/sw-bpm-process/T/bpm/process/service/ProcessStartServiceTest.java:71
AM-121	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/resolver/DesignatedApproverResolver.java:46
AM-121	IMPL	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/resolver/UnsupportedApproverResolver.java:30
AM-121	PROD	sw-biz/sw-bpm/sw-bpm-engine/M/bpm/engine/listener/ApprovalTaskListener.java:202
