id	kind	ref
AM-008	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/service/impl/BpmUrgeServiceImpl.java:178
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/controller/NotifyControllerIntegrationTest.java:172
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/controller/NotifyControllerIntegrationTest.java:190
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/controller/NotifyControllerIntegrationTest.java:465
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/controller/NotifyControllerIntegrationTest.java:508
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/controller/NotifyControllerIntegrationTest.java:510
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/controller/NotifyControllerIntegrationTest.java:512
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/controller/NotifyControllerIntegrationTest.java:545
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/controller/NotifyControllerIntegrationTest.java:547
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/entity/NotifyMessageIntegrationTest.java:155
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/entity/NotifyMessageIntegrationTest.java:210
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/entity/NotifyMessageIntegrationTest.java:212
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/entity/NotifyMessageIntegrationTest.java:236
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/entity/NotifyMessageIntegrationTest.java:241
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/i6/I6G1aNotifyFailureBootTest.java:56
AM-008	TEST	sw-basic/sw-basic-notify/sw-basic-notify-biz/T/notify/i6/I6NotifyClosureIntegrationTest.java:135
