id	kind	ref
AM-018	IMPL	sw-basic/sw-basic-storage/sw-basic-storage-biz/M/storage/impl/StorageFacadeImpl.java:30
AM-018	PROD	sw-basic/sw-basic-storage/sw-basic-storage-biz/M/storage/controller/StorageController.java:55
AM-018	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/controller/WorkflowAttachmentController.java:68
AM-018	TEST	sw-basic/sw-basic-storage/sw-basic-storage-biz/T/storage/controller/StorageControllerTest.java:105
AM-019	IMPL	sw-basic/sw-basic-storage/sw-basic-storage-biz/M/storage/impl/StorageFacadeImpl.java:68
AM-019	PROD	sw-basic/sw-basic-storage/sw-basic-storage-biz/M/storage/controller/StorageController.java:106
AM-019	PROD	sw-biz/sw-bpm/sw-bpm-process/M/bpm/process/controller/WorkflowAttachmentController.java:98
AM-019	TEST	sw-basic/sw-basic-storage/sw-basic-storage-biz/T/storage/controller/StorageControllerTest.java:236
AM-019	TEST	sw-basic/sw-basic-storage/sw-basic-storage-biz/T/storage/controller/StorageControllerTest.java:270
AM-019	TEST	sw-basic/sw-basic-storage/sw-basic-storage-biz/T/storage/controller/StorageControllerTest.java:286
AM-020	IMPL	sw-basic/sw-basic-storage/sw-basic-storage-biz/M/storage/impl/StorageFacadeImpl.java:79
AM-020	PROD	sw-basic/sw-basic-storage/sw-basic-storage-biz/M/storage/controller/StorageController.java:92
AM-021	IMPL	sw-basic/sw-basic-storage/sw-basic-storage-biz/M/storage/impl/StorageFacadeImpl.java:93
AM-022	IMPL	sw-basic/sw-basic-storage/sw-basic-storage-biz/M/storage/impl/StorageFacadeImpl.java:59
AM-022	PROD	sw-biz/sw-biz-form/sw-biz-form-biz/M/form/service/FormFieldEnrichmentService.java:330
