构件	败者版本	胜者版本	scope	主要引入方	涉及模块	是否 BAO-03 直接相关
poi	5.4.0	5.2.5	compile	tika-parsers-standard-package ↔ form-biz 硬编码 poi-ooxml 5.2.5	bootstrap	是（#4）
poi-ooxml	5.4.0	5.2.5	compile	同上	bootstrap	是（#4）
tencentcloud-sdk-java-common	3.1.213	3.1.1235	compile	cos_api→tencentcloud-sdk-java-kms 3.1.213 ↔ iot 硬编码 iotexplorer 3.1.1235	bootstrap	是（#1）
commons-compress	1.25.0	1.26.2	compile	form-biz 的 poi-ooxml 1.25.0 ↔ minio 1.26.2	bootstrap	间接（#4）
joda-time	2.13.0	2.9.9	compile	flowable 2.13.0 ↔ cos_api 2.9.9	bootstrap	否
bcprov-jdk18on	1.72 / 1.80 / 1.80.2	1.78.1	compile	tika 家族 ↔ minio 1.78.1	bootstrap/knowledge/agent	否
commons-io	2.7 / 2.15.0 / 2.16.1 / 2.17.0	2.16.1 / 2.18.0	compile	tika、poi、minio 多方	bootstrap/knowledge/agent	否
commons-logging	1.2 ↔ 1.3.4（双向）	—	compile	cos_api/httpclient、tencent、jackcess 1.2 ↔ tika/pdfbox 1.3.4	bootstrap/knowledge	否
okhttp	3.12.13 / 3.14.4	4.12.0	compile/runtime	iot→tencent-common、qiniu 3.14.4 ↔ minio 4.12.0	bootstrap/storage-biz	部分（经 #1）
okio	1.6.0 / 1.12.0	3.6.0	compile	tencent-common、qiniu ↔ minio/okhttp4	storage-biz	部分（经 #1）
jackcess	4.0.0	4.0.8	compile	tika→jackcess-encrypt	bootstrap/knowledge/agent	否
error_prone_annotations	2.27.0	2.28.0	compile	tencent-common→gson ↔ minio→guava	bootstrap/storage-biz	部分（经 #1）
antlr4-runtime	4.13.1	4.13.2	compile	spring-ai ↔ flyway-core	bootstrap	否
swagger-annotations-jakarta	2.2.29	2.2.30	compile	springdoc ↔ spring-ai	bootstrap	否
合计	63 条 conflict 标记（compile 61 / runtime 2 / test 0）→ 去重 38 条 → 14 个构件 vs 32 模块	—	—	集中于 sw-bootstrap 43、sw-basic-knowledge 8、sw-basic-agent 8、sw-basic-storage-biz 4；其余 28 模块 0	—	4/14 直接源于 BAO-03 硬编码版本
