consumer_module	consumer_file	lines	consumed_symbol	fqcn	category	in_api_pkg	suggested_owner
sw-bpm-process	sw-biz/sw-bpm/sw-bpm-process/src/main/java/com/sw/ck/bpm/process/listener/BpmDeviceCommandIntentRecorder.java	4,28,30,42	IotDeviceFacade	com.sw.ck.iot.api.IotDeviceFacade	facade/port	yes	iot-api (as-is)
sw-bpm-process	sw-biz/sw-bpm/sw-bpm-process/src/main/java/com/sw/ck/bpm/process/listener/BpmDeviceCommandListener.java	4,21,34,37,46	IotDeviceFacade	com.sw.ck.iot.api.IotDeviceFacade	facade/port	yes	iot-api (as-is)
sw-bpm-process	sw-biz/sw-bpm/sw-bpm-process/src/main/java/com/sw/ck/bpm/process/listener/BpmDeviceCommandListener.java	5,91	IotDeviceCommand	com.sw.ck.iot.entity.IotDeviceCommand	entity	NO	iot-biz; replace with facade method
sw-bpm-process	sw-biz/sw-bpm/sw-bpm-process/src/main/java/com/sw/ck/bpm/process/listener/BpmDeviceCommandListener.java	6,35,38,86	IotDeviceCommandMapper	com.sw.ck.iot.mapper.IotDeviceCommandMapper	mapper	NO	iot-biz; replace with facade method
sw-bpm-process	sw-biz/sw-bpm/sw-bpm-process/src/main/java/com/sw/ck/bpm/process/listener/IotProcessTriggerListener.java	10,45,57,177	IotDeviceFacade	com.sw.ck.iot.api.IotDeviceFacade	facade/port	yes	iot-api (as-is)
sw-bpm-process	sw-biz/sw-bpm/sw-bpm-process/src/main/java/com/sw/ck/bpm/process/listener/IotProcessTriggerListener.java	11,29,44,54,81,303	IotProcessTriggerFacade	com.sw.ck.iot.api.IotProcessTriggerFacade	facade/port	yes	iot-api (as-is)
sw-bpm-process	sw-biz/sw-bpm/sw-bpm-process/src/main/java/com/sw/ck/bpm/process/listener/IotProcessTriggerListener.java	46,58,245	IotDeviceQueryFacade	com.sw.ck.iot.api.IotDeviceQueryFacade	facade/port	yes	iot-api (as-is)
sw-bpm-process	sw-biz/sw-bpm/sw-bpm-process/src/main/java/com/sw/ck/bpm/process/listener/IotProcessTriggerListener.java	12,27,73,162,259	IotProcessTriggerEvent	com.sw.ck.iot.event.IotProcessTriggerEvent	event	NO (event pkg)	iot-api (package move event -> api)
sw-bpm-process	sw-biz/sw-bpm/sw-bpm-process/src/main/java/com/sw/ck/bpm/process/service/IotFormContractCheckerImpl.java	9,23	IotFormContractChecker	com.sw.ck.iot.api.IotFormContractChecker	facade/port (SPI impl by consumer)	yes	iot-api (as-is)
sw-bpm-process(TEST)	sw-biz/sw-bpm/sw-bpm-process/src/test/java/com/sw/ck/bpm/process/listener/BpmDeviceCommandListenerTest.java	6,7,8	IotDeviceFacade + IotDeviceCommand + IotDeviceCommandMapper	mixed	facade+entity+mapper	partial	iot-api for facade; entity/mapper sites follow production change
sw-bpm-process(TEST)	sw-biz/sw-bpm/sw-bpm-process/src/test/java/com/sw/ck/bpm/process/listener/IotProcessTriggerListenerPolicyTest.java	8,9,10,11	IotDeviceFacade + IotDeviceQueryFacade + IotProcessTriggerFacade + IotProcessTriggerEvent	mixed	facade+event	partial	iot-api
sw-basic-iot (REVERSE)	sw-basic/sw-basic-iot/src/main/java/com/sw/ck/iot/controller/IotEventRuleController.java	7,27,32,93	IotFormContractChecker (ObjectProvider)	com.sw.ck.iot.api.IotFormContractChecker	facade/port consumer	yes	iot-biz consumes; impl provided by sw-bpm-process (runtime edge iot -> bpm-process)
sw-bootstrap(TEST)	sw-bootstrap/src/test/java/com/sw/ck/bootstrap/p21/H7TenantIsolationIntegrationTest.java	10,11	IotConnection + IotConnectionMapper	entity+mapper	NO	iot-biz (bootstrap may see biz; not a boundary violation)
sw-bootstrap(TEST)	sw-bootstrap/src/test/java/com/sw/ck/bootstrap/phase4/Phase4PgDeliverySeamBehaviourTest.java	7,8	CommandCompensationJob + CommandQueueService	job+service	NO	iot-biz
sw-bootstrap(TEST)	sw-bootstrap/src/test/java/com/sw/ck/bootstrap/phase4/Phase4PgFlowSeamBehaviourTest.java	8,9,10,11,12,13	IotDevice + IotScript + IotScriptVersion + ProcessTriggerRecoveryJob + ScriptEngineService + RuleEngineService	entity+job+service	NO	iot-biz
sw-bootstrap(TEST)	sw-bootstrap/src/test/java/com/sw/ck/bootstrap/phase4/Phase4PgStartWindowCrashTest.java	7,8	IotProcessTriggerFacade + ProcessTriggerRecoveryJob	facade+job	partial	iot-api / iot-biz
